Scenario,Config,AgentName,Commitment,Rep,Score,NumTraps
3.2_fixed_10_traps,AgentB_solo,player,1,6,281,0
3.2_fixed_10_traps,AgentB_solo,player,1,7,296,0
3.2_fixed_10_traps,AgentB_solo,player,1,8,289,0
3.2_fixed_10_traps,AgentB_solo,player,1,9,269,0
3.2_fixed_10_traps,AgentB_solo,player,20,1,224,0
3.2_fixed_10_traps,AgentB_solo,player,20,10,235,0
3.2_fixed_10_traps,AgentB_solo,player,20,2,221,0
3.2_fixed_10_traps,AgentB_solo,player,20,3,236,0
3.2_fixed_10_traps,AgentB_solo,player,20,4,172,17
3.2_fixed_10_traps,AgentB_solo,player,20,5,214,0
3.2_fixed_10_traps,AgentB_solo,player,20,6,232,0
3.2_fixed_10_traps,AgentB_solo,player,20,7,224,0
3.2_fixed_10_traps,AgentB_solo,player,20,8,228,0
3.2_fixed_10_traps,AgentB_solo,player,20,9,228,0
3.2_fixed_10_traps,all_together,agA,1,1,168,0
3.2_fixed_10_traps,all_together,rnd,1,1,-49,91
3.2_fixed_10_traps,all_together,agB,1,1,244,0
3.2_fixed_10_traps,all_together,agA,1,10,166,0
3.2_fixed_10_traps,all_together,rnd,1,10,-47,85
3.2_fixed_10_traps,all_together,agB,1,10,187,0
3.2_fixed_10_traps,all_together,agB,1,2,153,0
3.2_fixed_10_traps,all_together,agA,1,2,128,0
3.2_fixed_10_traps,all_together,rnd,1,2,-44,78
3.2_fixed_10_traps,all_together,rnd,1,3,-48,85
3.2_fixed_10_traps,all_together,agA,1,3,224,0
3.2_fixed_10_traps,all_together,agB,1,3,225,0
3.2_fixed_10_traps,all_together,agA,1,4,106,0
3.2_fixed_10_traps,all_together,agB,1,4,133,0
3.2_fixed_10_traps,all_together,rnd,1,4,-88,116
3.2_fixed_10_traps,all_together,agA,1,5,191,0
3.2_fixed_10_traps,all_together,agB,1,5,252,0
3.2_fixed_10_traps,all_together,rnd,1,5,-67,99
3.2_fixed_10_traps,all_together,agA,1,6,149,0
3.2_fixed_10_traps,all_together,rnd,1,6,-65,100
3.2_fixed_10_traps,all_together,agB,1,6,178,0
3.2_fixed_10_traps,all_together,agB,1,7,219,0
3.2_fixed_10_traps,all_together,rnd,1,7,-65,94
3.2_fixed_10_traps,all_together,agA,1,7,193,0
3.2_fixed_10_traps,all_together,agA,1,8,181,0
3.2_fixed_10_traps,all_together,agB,1,8,254,0
3.2_fixed_10_traps,all_together,rnd,1,8,-70,102
3.2_fixed_10_traps,all_together,rnd,1,9,-57,90
3.2_fixed_10_traps,all_together,agA,1,9,187,0
3.2_fixed_10_traps,all_together,agB,1,9,267,0
3.2_fixed_10_traps,all_together,agA,20,1,95,0
3.2_fixed_10_traps,all_together,agB,20,1,145,0
3.2_fixed_10_traps,all_together,rnd,20,1,-49,79
3.2_fixed_10_traps,all_together,agA,20,10,81,0
3.2_fixed_10_traps,all_together,agB,20,10,89,0
3.2_fixed_10_traps,all_together,rnd,20,10,-68,96
3.2_fixed_10_traps,all_together,agB,20,2,85,0
3.2_fixed_10_traps,all_together,agA,20,2,57,0
3.2_fixed_10_traps,all_together,rnd,20,2,-79,96
3.2_fixed_10_traps,all_together,agB,20,3,101,0
3.2_fixed_10_traps,all_together,rnd,20,3,-24,57
3.2_fixed_10_traps,all_together,agA,20,3,63,0
3.2_fixed_10_traps,all_together,rnd,20,4,-68,89
3.2_fixed_10_traps,all_together,agB,20,4,91,12
3.2_fixed_10_traps,all_together,agA,20,4,56,0
3.2_fixed_10_traps,all_together,rnd,20,5,-82,110
3.2_fixed_10_traps,all_together,agA,20,5,77,0
3.2_fixed_10_traps,all_together,agB,20,5,140,0
3.2_fixed_10_traps,all_together,rnd,20,6,-94,114
3.2_fixed_10_traps,all_together,agB,20,6,142,0
3.2_fixed_10_traps,all_together,agA,20,6,87,0
3.2_fixed_10_traps,all_together,rnd,20,7,-69,95
3.2_fixed_10_traps,all_together,agB,20,7,150,0
3.2_fixed_10_traps,all_together,agA,20,7,91,0
3.2_fixed_10_traps,all_together,rnd,20,8,-91,116
3.2_fixed_10_traps,all_together,agA,20,8,91,0
3.2_fixed_10_traps,all_together,agB,20,8,128,0
3.2_fixed_10_traps,all_together,rnd,20,9,-86,113
3.2_fixed_10_traps,all_together,agB,20,9,133,0
3.2_fixed_10_traps,all_together,agA,20,9,88,0
3.2_fixed_10_traps,RandomAgent_solo,player,1,1,-98,114
3.2_fixed_10_traps,RandomAgent_solo,player,1,10,-63,81
3.2_fixed_10_traps,RandomAgent_solo,player,1,2,-16,55
3.2_fixed_10_traps,RandomAgent_solo,player,1,3,-87,100
3.2_fixed_10_traps,RandomAgent_solo,player,1,4,-59,76
3.2_fixed_10_traps,RandomAgent_solo,player,1,5,-75,101
3.2_fixed_10_traps,RandomAgent_solo,player,1,6,-62,88
3.2_fixed_10_traps,RandomAgent_solo,player,1,7,-43,61
3.2_fixed_10_traps,RandomAgent_solo,player,1,8,-70,95
3.2_fixed_10_traps,RandomAgent_solo,player,1,9,-76,84
3.2_fixed_10_traps,RandomAgent_solo,player,20,1,-74,85
